cycle,o_hit,exp_hit,o_miss,exp_miss,o_cpu_data,exp_cpu_data,o_mem_rd,exp_mem_rd,o_mem_wr,exp_mem_wr,o_mem_rd_addr,exp_mem_rd_addr,RESULT
0,0,0,1,1,0,0,0,1,0,0,x,163592,FAIL
1,0,0,1,1,0,0,1,1,0,0,163592,163592,FAIL
2,0,0,1,1,0,5,1,1,0,0,163592,163600,FAIL
3,0,0,1,1,0,5,0,1,0,0,163592,163600,FAIL
4,0,0,1,0,0,110,0,0,0,0,163592,163600,FAIL
5,0,0,1,1,0,110,0,1,0,0,163592,209368,FAIL
6,0,0,1,1,0,110,1,1,0,0,209368,209368,FAIL
7,0,0,1,1,0,110,1,1,0,0,209368,209376,FAIL
8,0,0,1,1,0,110,0,1,0,0,209368,209376,FAIL
9,0,0,1,0,0,110,0,0,0,0,209368,209376,FAIL
10,0,0,1,1,0,110,0,1,0,0,209368,573264,FAIL
11,0,0,1,1,0,110,1,1,0,0,573264,573264,FAIL
12,0,0,1,1,0,153,1,1,0,1,573264,573272,FAIL
13,0,0,1,1,0,153,0,1,0,1,573264,573272,FAIL
14,0,0,1,0,0,212,0,0,0,0,573264,573272,FAIL
15,0,0,1,1,0,212,0,1,0,0,573264,809752,FAIL
16,0,0,1,1,0,212,1,1,0,0,809752,809752,FAIL
17,0,0,1,1,0,197,1,1,0,0,809752,809760,FAIL
18,0,0,1,1,0,197,0,1,0,0,809752,809760,FAIL
19,0,0,1,0,0,79,0,0,0,0,809752,809760,FAIL
20,0,0,1,1,0,79,0,1,0,0,809752,797736,FAIL
21,0,0,1,1,0,79,1,1,0,0,797736,797736,FAIL
22,0,0,1,1,0,79,1,1,0,0,797736,797744,FAIL
23,0,0,1,1,0,79,0,1,0,0,797736,797744,FAIL
24,0,0,1,0,0,79,0,0,0,0,797736,797744,FAIL
25,0,0,0,0,0,0,0,0,0,0,797736,0,FAIL
26,0,0,0,0,0,0,0,0,0,0,797736,0,FAIL
27,0,0,0,0,0,0,0,0,0,0,797736,0,FAIL
28,0,0,1,1,0,0,0,1,0,0,797736,125680,FAIL
29,0,0,1,1,0,0,1,1,0,0,125680,125680,FAIL
30,0,0,1,1,0,0,1,1,0,1,125680,125688,FAIL
31,0,0,1,1,0,0,0,1,0,1,125680,125688,FAIL
32,0,0,1,0,0,0,0,0,0,0,125680,125688,FAIL
33,0,0,1,1,0,0,0,1,0,0,125680,1033528,FAIL
34,0,0,1,1,0,0,1,1,0,0,1033528,1033528,FAIL
35,0,0,1,1,0,30814,1,1,0,1,1033528,1033536,FAIL
36,0,0,1,1,0,30814,0,1,0,1,1033528,1033536,FAIL
37,0,0,1,0,0,56074,0,0,0,0,1033528,1033536,FAIL
38,0,0,1,1,0,56074,0,1,0,0,1033528,724496,FAIL
39,0,0,1,1,0,56074,1,1,0,0,724496,724496,FAIL
40,0,0,1,1,0,56074,1,1,0,0,724496,724504,FAIL
41,0,0,1,1,0,56074,0,1,0,0,724496,724504,FAIL
42,0,0,1,0,0,56074,0,0,0,0,724496,724504,FAIL
43,0,0,0,0,0,0,0,0,0,0,724496,0,FAIL
44,0,0,1,1,0,0,0,1,0,0,724496,635880,FAIL
45,0,0,1,1,0,0,1,1,0,0,635880,635880,FAIL
46,0,0,1,1,0,31884,1,1,0,1,635880,635888,FAIL
47,0,0,1,1,0,31884,0,1,0,1,635880,635888,FAIL
48,0,0,1,0,0,48806,0,0,0,0,635880,635888,FAIL
49,0,0,1,1,0,48806,0,1,0,0,635880,1020272,FAIL
